Covariates,ABL,BOU,BRB,BRC,CHE,GAR,GDL,GFL,GKR,GOU,LOR,PER,PES,PSR,ROT,SAN,SIL,TAN,VAN
helophytes_m_2_,-0.007233483,-0.112584834,-0.086334635,-0.025844119,0.03176795,-0.003822253,-0.032202636,0.03149667,-0.008156144,0.000511573,-0.001640372,0.001531301,-0.013546894,-0.040908689,-0.044294137,0.000268998,-0.000240349,-0.000193974,0.006451403
hydrophytes_m_2_,0.022467007,0.033500008,0.035286101,0.012551546,-0.007934311,-0.002807845,0.008728725,-0.016040005,0.000703943,-0.00232442,-0.004744669,-0.001647153,-0.004228971,0.059184834,0.019215013,-0.00012845,1.25E-05,-0.000289266,-0.000391711
substrate_m_2_,-0.001195838,-0.170571761,-0.024387733,-0.011428585,0.006940786,0.011752381,-0.00411118,0.048258714,0.000768321,-0.00377867,-0.007744073,0.005199904,-0.020121935,-0.00948102,-0.010252854,-0.000109118,-0.00067198,-0.000882715,0.001839127
trees_m_2_,0.016652062,-0.028977593,-0.019227138,3.89E-05,-0.059055457,-0.009580849,-0.018533885,-0.028496033,-0.003851963,0.00175794,0.019992118,0.00209773,0.006462083,-0.017257656,-0.004427742,-0.000183226,-0.001074296,-0.002604209,-0.0156891
GTN,0.023942738,0.073407939,0.10284832,0.032831326,0.03598146,0.012955855,0.006124793,0.086693386,0.007596408,-0.00143626,-0.007879316,-0.001412329,0.012719561,0.023595355,0.048266445,-0.000224015,0.000291675,-0.000722445,0.016807524
between_sector_sim,-0.009718113,-0.122813653,-0.073470291,-0.025628914,0.028099481,0.008605009,-0.005655104,0.014779502,-0.001360329,-0.000646718,-0.001152043,0.003645738,-0.017458441,-0.015156906,-0.034941611,0.000294455,-0.000169011,0.000474153,0.002338112
time_centered,-0.013275916,0.000151874,0.00702945,-0.000847262,0.00381999,0.006056112,0.015088395,-0.00471327,0.003769765,-0.001060741,-0.001835486,0.002340075,0.000862401,0.008071457,0.004026013,-0.000123801,-2.54E-05,-9.75E-05,0.000579182
