Covariates,FFGin_omni,FFGin_pi,FFGomni,FFGomni_in,FFGpi,LSls2,LSls3,HAB_RHEOeu,HAB_RHEOeu_li,HAB_RHEOli,HAB_RHEOrh,HAB_TROPHwc,HAB_LIVbe_pe,HAB_LIVde,HAB_LIVde_pe,HAB_LIVpe,MOR_LMAX2,MOR_LMAX3,MOR_LMAX4,MOR_LMAX5,MOR_MIGRre,MOR_MIGRre_po,REP_MODEoth,REP_MODEphli,REP_MODEphyt,REP_GUILDnest,REP_GUILDop_sc,REP_INCUB_PER1,REP_INCUB_PER2,REP_INCUB_PER3,TOL_HABHIM,TOL_HABhintol,TOL_HABhtol,TOL_OXYo2tol
helophytes_m_2_,-0.000794436,0.002287472,-0.002077774,-0.008846973,0.001769373,0.039825124,0.00266977,0.010980579,-0.001052052,-0.007360098,0.009584581,0.001574929,-0.013347677,-0.004845144,-0.013697057,-0.017096939,0.025651161,-0.020306402,0.018322173,0.007538426,-0.011193654,-0.010890815,-0.025493811,0.000356794,0.00270297,0.029361891,0.017632816,-0.007917698,0.002900585,0.001985768,-0.021563496,-0.01368001,-0.003656152,0.002285247
hydrophytes_m_2_,0.009633145,-0.001884387,0.001184053,0.009931464,0.008894235,-0.014991955,-0.00018534,-0.010025353,0.012065709,-0.005906112,0.001508703,0.012620184,0.014442652,-0.007507541,0.014720053,0.001391083,-0.003212093,-0.005481023,-0.005886767,-3.28E-05,0.010211265,-0.004888998,0.001284684,0.004643828,0.012149981,-0.016390854,-0.011450348,0.000589996,0.001807443,-0.003989148,0.013505245,0.002717594,-0.000191302,0.004580777
substrate_m_2_,-0.005147155,-0.007017328,-0.00929912,-0.008427768,0.017973987,0.023240957,0.001237489,0.006200089,0.010805957,-0.024971661,0.006704991,0.003462526,-0.003452272,0.001693852,-0.00104914,-0.020781533,0.017385011,-0.014874736,0.015143863,0.006732043,-0.022264463,-0.003186651,-0.045203294,0.000453881,0.013689401,0.006391933,0.012048417,-0.018921977,-0.004987738,-0.005652576,0.000127945,-0.021152556,-0.001547899,0.025049587
trees_m_2_,0.010090346,0.004601767,-0.013703779,-0.009465435,0.006671709,-0.010868038,0.006788334,-0.006063565,-0.012511423,0.000588575,0.005831319,0.002687077,-0.001889919,-0.003286412,0.001582029,-0.020238349,0.007437572,0.006798141,-0.000797429,-0.004023713,0.002945709,0.01745226,-0.005672025,-0.005222393,0.008088162,0.008462661,-0.003984957,-0.002514808,0.012728885,-0.000331007,-0.002306986,-0.00039851,-0.009224116,0.00583583
GTN,-0.006685071,-0.005034381,-0.002553135,0.001195844,0.004381468,-0.028539768,0.001787363,-0.003035493,0.024122092,0.01331559,0.003394375,0.003258502,0.007067406,0.004119317,0.014129229,0.035915265,0.010375362,0.022605761,-0.008853259,-0.007933385,-0.001807487,-0.017260185,0.024933449,-0.00895698,-0.013423324,-0.013736747,0.027939978,0.016345027,-0.009134086,-0.022141625,0.013048699,-0.004618094,0.009212224,0.000329936
between_sector_sim,-0.001078348,-0.0116034,-0.0028476,0.000466661,0.009770345,0.029397395,0.002981788,0.015103183,-0.007382767,-0.024600014,0.000843433,0.009262711,-0.00398412,-0.009463653,-0.013602502,-0.025417176,0.012621667,-0.018458531,0.022440782,0.000943979,-0.008728834,-0.001087705,-0.024298231,0.001098209,0.010332016,0.010660649,-0.000934581,-0.014148994,-0.006834402,-0.004393539,-0.018745621,-0.014093549,-0.008067601,0.012129442
time_centered,-0.006025201,-0.00425275,0.002678468,0.005581799,0.000890372,-0.001225408,-0.005084982,0.005961606,-0.001251243,-0.004754362,0.003698285,-0.000375458,-0.000588941,0.001966938,0.001638288,-0.001049858,-0.009661432,-0.002093457,0.000834931,-0.004724526,0.006140466,0.007915342,0.00122997,-0.002877471,-0.006458312,-5.99E-05,-0.004596059,0.001978495,-0.000656928,0.003176386,0.008233427,0.000313122,0.000367122,0.003553034
